name,image_id,confidence,xmin,ymin,xmax,ymax
scallop,000298.xml,0.117621064,1515,199,1678,304
scallop,000298.xml,0.8748086,1524,511,1720,646
scallop,000298.xml,0.9063962,1416,479,1563,569
scallop,000298.xml,0.06552642,1307,679,1524,907
scallop,000298.xml,0.8975379,1342,750,1517,885
scallop,000298.xml,0.6578618,750,889,960,1017
scallop,000298.xml,0.13120352,2726,1444,2924,1635
scallop,000298.xml,0.19821198,300,684,446,812
scallop,000298.xml,0.06291851,1378,270,1508,364
scallop,000298.xml,0.76216197,3472,363,3670,492
scallop,000298.xml,0.09785574,1583,1886,1896,2158
scallop,000298.xml,0.57024205,1793,506,1944,730
scallop,000298.xml,0.32811126,1780,508,1922,623
scallop,000298.xml,0.20940869,2740,1429,2995,1547
scallop,000298.xml,0.59531236,2797,1242,3030,1532
scallop,000298.xml,0.0758197,1395,474,1694,595
scallop,000298.xml,0.059343956,751,828,871,881
scallop,000298.xml,0.111239545,2760,1368,3016,1530
scallop,000298.xml,0.11689656,2746,1490,2889,1562
scallop,000298.xml,0.38815597,760,945,956,1009
scallop,000298.xml,0.16937928,742,840,909,911
scallop,000298.xml,0.15893182,2759,1324,3098,1805
scallop,000298.xml,0.82329535,1345,1736,1653,2105
scallop,000298.xml,0.074106656,703,830,866,925
scallop,000298.xml,0.2330051,852,903,937,955
scallop,000298.xml,0.28932902,731,878,895,949
scallop,000298.xml,0.16616394,1735,274,1857,385
scallop,000298.xml,0.06376243,2757,1419,2894,1520
scallop,000298.xml,0.19821693,2754,1454,2949,1529
scallop,000298.xml,0.39273855,3593,719,3828,847
scallop,000298.xml,0.08727656,2827,1483,2959,1554
holothurian,000208.xml,0.26842716,1765,2091,2046,2158
holothurian,000208.xml,0.41590902,724,848,1061,977
echinus,000208.xml,0.9940275,3185,1627,3483,1824
echinus,000208.xml,0.9950806,1112,1592,1523,2011
echinus,000208.xml,0.09792299,3346,1378,3472,1471
starfish,000208.xml,0.95879155,1072,1383,1327,1534
echinus,000780.xml,0.97369826,2451,937,2609,1101
echinus,000780.xml,0.87647414,2844,349,2982,488
echinus,000780.xml,0.959994,3334,1850,3595,2065
echinus,000780.xml,0.8518179,1801,1382,1945,1508
echinus,000780.xml,0.17633511,1118,1061,1203,1145
echinus,000780.xml,0.4633652,680,1780,794,1892
echinus,000780.xml,0.3718413,1314,927,1413,1017
echinus,000780.xml,0.2935539,1863,478,1990,586
echinus,000780.xml,0.10904543,967,1492,1094,1599
echinus,000780.xml,0.1325769,2233,544,2350,645
echinus,000780.xml,0.45413423,2608,2089,2819,2157
echinus,000780.xml,0.1221907,2049,97,2130,168
echinus,000780.xml,0.4509216,1998,560,2105,653
starfish,000780.xml,0.994507,2097,1691,2299,1823
starfish,000780.xml,0.4935682,1519,1658,1625,1764
starfish,000780.xml,0.1613897,2513,1708,2617,1792
starfish,000780.xml,0.109277554,1942,825,2121,991
holothurian,000568.xml,0.36170024,1882,557,2011,653
echinus,000568.xml,0.18712649,2790,786,2983,1057
scallop,000568.xml,0.987117,577,1213,924,1560
scallop,000568.xml,0.05556472,1505,2013,1704,2146
scallop,000568.xml,0.55284005,2165,964,2259,1048
echinus,000545.xml,0.9841815,1327,675,1507,830
echinus,000545.xml,0.9667293,1423,1014,1560,1138
echinus,000545.xml,0.7956916,3376,1930,3687,2158
echinus,000545.xml,0.9288949,2267,336,2368,443
echinus,000545.xml,0.8769416,2448,1533,2664,1705
echinus,000545.xml,0.8081343,1658,185,1776,278
echinus,000545.xml,0.115818076,3458,235,3610,363
echinus,000545.xml,0.09917928,2019,633,2158,778
echinus,000545.xml,0.4782592,1670,2016,1894,2158
echinus,000545.xml,0.6354742,1714,380,1860,514
echinus,000545.xml,0.13796929,2148,610,2269,723
echinus,000545.xml,0.50242525,2284,577,2410,709
starfish,000545.xml,0.9605166,1316,922,1461,1051
starfish,000545.xml,0.9805149,2608,2011,2826,2157
starfish,000545.xml,0.9969253,3021,1849,3249,2035
starfish,000545.xml,0.28851467,2202,198,2317,278
starfish,000545.xml,0.15159859,1785,137,1883,185
starfish,000545.xml,0.9092856,417,1624,632,1741
starfish,000545.xml,0.36161274,2089,1369,2215,1457
starfish,000545.xml,0.82191753,2900,1568,3081,1713
starfish,000545.xml,0.39206922,1297,451,1415,551
starfish,000545.xml,0.1024315,3086,1487,3245,1612
echinus,000723.xml,0.88160044,3048,1334,3194,1482
echinus,000723.xml,0.6138727,1449,2053,1535,2127
echinus,000723.xml,0.901678,2954,570,3059,669
echinus,000723.xml,0.8830864,1907,1590,2001,1708
echinus,000723.xml,0.87508583,2982,688,3098,793
echinus,000723.xml,0.8465948,3201,303,3322,408
echinus,000723.xml,0.22814493,3330,215,3451,305
echinus,000723.xml,0.2560252,3442,1377,3583,1482
echinus,000723.xml,0.07668936,3466,237,3567,331
scallop,000723.xml,0.6256009,3222,1296,3303,1364
starfish,000723.xml,0.4542697,1860,2007,1991,2107
echinus,000373.xml,0.13839683,1967,967,2125,1124
scallop,000373.xml,0.9938851,1187,761,1332,876
scallop,000373.xml,0.9848337,3394,773,3552,864
scallop,000373.xml,0.6486586,1279,495,1369,573
scallop,000373.xml,0.19620952,1140,470,1279,582
scallop,000373.xml,0.6574358,3605,1960,3830,2111
scallop,000373.xml,0.2558829,3453,2057,3693,2154
scallop,000373.xml,0.55163664,1098,622,1208,700
scallop,000373.xml,0.06452188,882,847,1007,913
scallop,000373.xml,0.084855735,1949,463,2154,571
starfish,000373.xml,0.14091581,1949,463,2154,571
echinus,000759.xml,0.9742441,2391,530,2605,755
echinus,000759.xml,0.08673155,1058,203,1243,394
echinus,000759.xml,0.07061485,2083,1036,2139,1095
echinus,000759.xml,0.3831548,2298,528,2403,630
scallop,000759.xml,0.17266455,2087,1171,2209,1306
scallop,000759.xml,0.07964659,1771,376,1977,570
starfish,000759.xml,0.98815644,1011,0,1203,185
starfish,000759.xml,0.9951826,2832,504,3048,710
starfish,000759.xml,0.99231464,2564,1460,2757,1600
starfish,000759.xml,0.99116886,1523,597,1737,852
starfish,000759.xml,0.29138604,1990,1114,2059,1203
starfish,000759.xml,0.467631,2085,1171,2210,1303
starfish,000759.xml,0.06743464,2501,838,2727,1003
starfish,000759.xml,0.17544015,2535,839,2658,988
echinus,000022.xml,0.980207,1341,476,1605,789
echinus,000022.xml,0.8458777,839,754,948,919
echinus,000022.xml,0.8623875,1803,620,1919,754
echinus,000022.xml,0.9878405,1247,817,1472,1067
echinus,000022.xml,0.4262657,1802,383,1919,579
scallop,000022.xml,0.6155969,169,504,322,636
starfish,000022.xml,0.98564374,573,678,773,906
echinus,000524.xml,0.9650312,2030,768,2168,898
echinus,000524.xml,0.90284264,693,794,881,987
echinus,000524.xml,0.8981687,1474,359,1638,518
echinus,000524.xml,0.46453106,1708,1033,1890,1187
echinus,000524.xml,0.44725847,2389,1442,2519,1580
echinus,000524.xml,0.49506098,2581,1244,2689,1348
echinus,000524.xml,0.10770078,2579,1041,2684,1152
echinus,000524.xml,0.0784737,2072,1561,2168,1670
starfish,000524.xml,0.056858655,1030,1799,1533,2156
holothurian,000320.xml,0.85491246,3384,1509,3838,1742
holothurian,000320.xml,0.44592938,2567,1771,2739,1903
scallop,000320.xml,0.97756857,2452,1919,2638,2099
scallop,000320.xml,0.9746072,2495,1475,2623,1584
scallop,000320.xml,0.9828031,2575,1101,2729,1234
scallop,000320.xml,0.9773671,2895,1396,3075,1534
scallop,000320.xml,0.87150365,2224,1896,2341,2029
scallop,000320.xml,0.9377335,3086,1531,3274,1689
scallop,000320.xml,0.83232504,2186,2083,2334,2158
scallop,000320.xml,0.7651146,3509,639,3620,734
scallop,000320.xml,0.080956414,1497,1518,1666,1655
scallop,000320.xml,0.51897734,1706,1423,1842,1561
scallop,000320.xml,0.53756386,2367,1301,2556,1459
scallop,000320.xml,0.4973694,2670,1882,2863,2049
scallop,000320.xml,0.38417593,3359,1137,3521,1281
scallop,000320.xml,0.06531116,2594,1418,2636,1462
scallop,000320.xml,0.4500022,1375,1685,1515,1827
scallop,000320.xml,0.6583229,3684,1954,3838,2142
scallop,000320.xml,0.778342,3406,2017,3657,2158
scallop,000320.xml,0.09359232,2161,926,2292,1034
scallop,000320.xml,0.10367887,1828,1453,1950,1565
scallop,000320.xml,0.05969263,2730,1535,2845,1625
holothurian,000647.xml,0.18065163,2233,1463,2491,1517
holothurian,000647.xml,0.5284844,2246,1439,2480,1503
echinus,000647.xml,0.98071325,0,5,361,322
echinus,000647.xml,0.9629915,2166,1259,2411,1473
echinus,000647.xml,0.11288138,3653,700,3835,835
starfish,000647.xml,0.9157852,651,1729,916,1913
holothurian,000167.xml,0.9921278,1147,957,1655,1165
holothurian,000167.xml,0.10105384,1454,1990,1829,2153
holothurian,000167.xml,0.9179908,719,1260,1022,1794
echinus,000167.xml,0.99113,3122,1325,3716,1654
echinus,000167.xml,0.810115,1683,1200,1924,1451
echinus,000467.xml,0.9897143,620,656,725,745
echinus,000467.xml,0.9815258,1729,764,1821,862
echinus,000467.xml,0.981814,1195,554,1294,635
echinus,000467.xml,0.85731184,1687,691,1776,756
echinus,000467.xml,0.9424356,667,555,726,612
echinus,000467.xml,0.90761155,1074,415,1129,464
echinus,000467.xml,0.99278873,770,875,886,984
echinus,000467.xml,0.7834388,1236,419,1294,462
echinus,000467.xml,0.7803018,890,249,946,296
echinus,000467.xml,0.5227359,947,269,1002,310
echinus,000467.xml,0.17256331,1858,587,1919,695
echinus,000467.xml,0.17701785,76,399,176,473
scallop,000467.xml,0.11319111,1170,866,1242,925
starfish,000467.xml,0.9892988,1517,865,1696,1007
starfish,000467.xml,0.99031633,1371,875,1515,996
starfish,000467.xml,0.7449797,1060,494,1137,557
starfish,000467.xml,0.19329248,1337,869,1739,1000
echinus,000619.xml,0.9720001,1324,1065,1497,1184
echinus,000619.xml,0.8856977,1700,1268,1875,1432
echinus,000619.xml,0.97297657,2581,1434,2795,1633
echinus,000619.xml,0.962289,2245,1537,2464,1755
echinus,000619.xml,0.81280136,1573,1321,1712,1463
echinus,000619.xml,0.16415136,1577,1270,1903,1445
echinus,000619.xml,0.1606034,1127,1564,1256,1705
starfish,000619.xml,0.8352567,3535,2000,3838,2157
scallop,000287.xml,0.9954952,2044,1521,2334,1823
scallop,000287.xml,0.9936009,3492,84,3825,347
scallop,000287.xml,0.9935361,2056,415,2261,582
scallop,000287.xml,0.9839633,1675,155,1814,285
scallop,000287.xml,0.9509471,2516,758,2766,995
scallop,000287.xml,0.99659497,2604,600,2851,786
scallop,000287.xml,0.9971378,872,1013,1084,1219
scallop,000287.xml,0.99485874,2838,1724,3277,2158
scallop,000287.xml,0.061640944,2465,377,2559,461
scallop,000287.xml,0.9593397,1862,908,2081,1138
scallop,000287.xml,0.8229306,3417,1707,3600,1817
scallop,000287.xml,0.59686625,286,1128,448,1232
scallop,000287.xml,0.29897642,2398,968,2592,1201
scallop,000287.xml,0.54254353,1142,475,1321,590
scallop,000287.xml,0.3099208,2568,979,2696,1080
scallop,000287.xml,0.3734501,1877,272,2007,364
scallop,000287.xml,0.9493621,1142,808,1364,973
scallop,000287.xml,0.8326415,874,292,1005,404
scallop,000287.xml,0.29783294,1539,1365,1750,1508
scallop,000287.xml,0.5792706,2214,878,2404,1056
scallop,000287.xml,0.4669922,2698,1022,2835,1134
holothurian,000069.xml,0.18865685,1641,1060,1772,1145
holothurian,000069.xml,0.33027142,1848,1055,1896,1105
holothurian,000069.xml,0.15681164,1648,1070,1715,1157
holothurian,000069.xml,0.1676836,1659,1061,1743,1107
holothurian,000069.xml,0.14547662,1646,1083,1705,1124
holothurian,000069.xml,0.100100525,1696,1056,1762,1138
echinus,000069.xml,0.1652077,1242,1321,1283,1362
echinus,000069.xml,0.70363045,1605,1162,1659,1223
echinus,000069.xml,0.6551229,1029,1374,1153,1438
echinus,000069.xml,0.30726257,1480,1336,1539,1397
echinus,000069.xml,0.11074292,1596,1172,1646,1236
echinus,000069.xml,0.88614386,1624,924,1673,973
echinus,000069.xml,0.11507457,1593,1198,1637,1235
echinus,000069.xml,0.17943397,1569,1222,1602,1283
echinus,000069.xml,0.1048963,1556,1371,1593,1411
echinus,000069.xml,0.2409182,1611,1288,1686,1340
echinus,000069.xml,0.10792594,1011,1388,1054,1430
echinus,000069.xml,0.08116352,1618,1264,1683,1322
echinus,000069.xml,0.07054117,1460,935,1552,1029
echinus,000069.xml,0.07887002,1527,1010,1593,1058
echinus,000069.xml,0.07962567,1611,1262,1690,1375
echinus,000069.xml,0.16533926,1467,1025,1563,1109
echinus,000069.xml,0.17823975,1562,571,1651,650
scallop,000069.xml,0.55576193,1409,1316,1489,1353
scallop,000069.xml,0.23856446,1488,1248,1543,1283
scallop,000069.xml,0.05908904,1490,1300,1545,1338
scallop,000069.xml,0.7854707,1939,1131,2000,1196
scallop,000069.xml,0.7007337,1384,1358,1456,1438
scallop,000069.xml,0.08804797,1512,1249,1543,1291
scallop,000069.xml,0.27101588,1377,1174,1467,1253
scallop,000069.xml,0.052090928,1368,1168,1447,1215
scallop,000069.xml,0.073034585,1474,1242,1551,1296
scallop,000069.xml,0.063616544,1414,1317,1456,1358
scallop,000069.xml,0.083038196,1387,1209,1463,1252
scallop,000069.xml,0.060181666,1386,1328,1423,1376
scallop,000069.xml,0.0967711,1379,1309,1470,1438
starfish,000069.xml,0.48820496,1897,896,1967,973
starfish,000069.xml,0.9143419,1696,1242,1767,1307
echinus,000087.xml,0.16619313,1057,1082,1258,1268
scallop,000087.xml,0.99187076,1879,1442,2398,1744
holothurian,000012.xml,0.984789,1095,479,1256,719
holothurian,000012.xml,0.99358094,874,696,1196,870
holothurian,000012.xml,0.14289764,728,43,852,232
scallop,000012.xml,0.78946996,20,447,234,619
starfish,000012.xml,0.053371307,1232,743,1463,1079
holothurian,000606.xml,0.9579386,456,246,552,342
holothurian,000606.xml,0.18916763,347,1,442,27
holothurian,000606.xml,0.84480894,198,4,226,74
holothurian,000606.xml,0.39265308,604,53,709,106
echinus,000606.xml,0.92927057,240,65,296,126
echinus,000606.xml,0.93508226,324,22,393,100
echinus,000606.xml,0.92426676,275,146,322,196
scallop,000606.xml,0.06597782,39,10,123,69
starfish,000606.xml,0.9685949,445,0,530,47
starfish,000606.xml,0.8633563,520,0,570,58
starfish,000606.xml,0.6001388,306,364,360,405
starfish,000606.xml,0.12727596,432,1,605,50
echinus,000244.xml,0.966074,3544,6,3838,244
echinus,000244.xml,0.9895655,468,976,700,1197
echinus,000244.xml,0.9906097,276,739,583,945
echinus,000244.xml,0.19139062,2975,429,3296,641
holothurian,000008.xml,0.90683204,1079,159,1190,338
holothurian,000008.xml,0.97550225,830,608,1063,758
holothurian,000008.xml,0.15204078,766,25,876,239
scallop,000008.xml,0.9821586,999,842,1189,1045
scallop,000008.xml,0.9810985,1135,689,1226,775
scallop,000008.xml,0.8528418,1245,781,1412,858
scallop,000008.xml,0.2210966,1488,175,1657,298
scallop,000008.xml,0.5003443,1213,855,1325,969
scallop,000008.xml,0.65417403,1444,563,1546,671
starfish,000008.xml,0.61522996,413,195,497,261
starfish,000008.xml,0.6741735,1685,0,1811,73
echinus,000350.xml,0.989787,2924,1290,3181,1502
scallop,000350.xml,0.97744954,2054,1211,2212,1332
scallop,000350.xml,0.9859201,2295,1227,2470,1334
scallop,000350.xml,0.95969296,1754,1613,1936,1763
scallop,000350.xml,0.9620364,3663,1452,3838,1635
scallop,000350.xml,0.89902025,2321,1109,2450,1232
scallop,000350.xml,0.88803333,2403,977,2536,1081
scallop,000350.xml,0.7762672,973,656,1090,724
scallop,000350.xml,0.6497219,3603,1667,3838,1935
scallop,000350.xml,0.8732468,1920,1190,2084,1265
scallop,000350.xml,0.28199884,1738,1475,1964,1793
scallop,000350.xml,0.93264437,1718,1263,1865,1354
scallop,000350.xml,0.48240146,2748,1831,2962,2005
scallop,000350.xml,0.7097842,1436,1224,1575,1309
scallop,000350.xml,0.78409696,3213,1976,3459,2101
scallop,000350.xml,0.10977026,2671,703,2783,781
scallop,000350.xml,0.9850744,1730,1899,1952,2110
scallop,000350.xml,0.5551837,3311,1588,3505,1724
scallop,000350.xml,0.055416517,3577,1785,3818,1942
scallop,000350.xml,0.14112873,2197,1251,2271,1296
scallop,000350.xml,0.7205526,3457,1510,3709,1683
scallop,000350.xml,0.99456304,2775,1995,3028,2158
scallop,000350.xml,0.19893445,3246,1474,3446,1591
scallop,000350.xml,0.0720342,3592,1655,3806,1814
scallop,000350.xml,0.60122204,1721,1484,1980,1655
scallop,000350.xml,0.22407307,3165,269,3267,344
scallop,000350.xml,0.91469866,1260,703,1382,790
scallop,000350.xml,0.9487626,3011,809,3144,886
scallop,000350.xml,0.35220507,3443,1709,3569,1782
scallop,000350.xml,0.29672432,3048,2007,3229,2158
scallop,000350.xml,0.11874481,1423,1211,1565,1443
scallop,000350.xml,0.60413015,1979,588,2079,655
scallop,000350.xml,0.059664845,3268,837,3408,941
scallop,000350.xml,0.7092905,1426,1298,1533,1412
scallop,000350.xml,0.065437675,1429,1288,1541,1344
scallop,000350.xml,0.053957615,2006,1194,2078,1255
scallop,000350.xml,0.07305852,918,710,1016,758
scallop,000350.xml,0.26360607,890,668,970,729
scallop,000350.xml,0.07894695,2314,1189,2448,1233
scallop,000350.xml,0.07418294,2714,1995,3408,2152
scallop,000350.xml,0.1460832,2307,1083,2463,1361
starfish,000350.xml,0.943453,2598,531,2739,622
starfish,000350.xml,0.54184306,2400,386,2520,493
starfish,000350.xml,0.9285903,1980,1343,2249,1534
starfish,000350.xml,0.99255484,1667,980,1958,1148
holothurian,000226.xml,0.9946854,303,1784,788,2040
scallop,000272.xml,0.077826306,1536,734,1680,877
scallop,000272.xml,0.31058383,2089,657,2279,779
scallop,000272.xml,0.17777707,2781,1334,2988,1571
starfish,000272.xml,0.79703665,2657,684,2981,927
echinus,000575.xml,0.55801827,2047,1036,2177,1160
echinus,000575.xml,0.10557542,1114,1169,1242,1293
echinus,000575.xml,0.08553368,8,2056,97,2153
echinus,000575.xml,0.38776684,3580,1485,3818,1680
scallop,000575.xml,0.3532246,2189,1132,2321,1199
scallop,000575.xml,0.05809043,4,1046,121,1101
scallop,000575.xml,0.10561729,2565,1584,2665,1675
holothurian,000115.xml,0.92993945,101,1184,480,1727
scallop,000115.xml,0.9748657,687,1192,993,1381
starfish,000115.xml,0.9863988,872,633,1261,852
starfish,000115.xml,0.9721315,2565,1048,2880,1267
starfish,000115.xml,0.96274114,1222,709,1768,992
starfish,000115.xml,0.6792986,1079,998,1621,1273
echinus,000752.xml,0.988009,2398,1908,2596,2089
echinus,000752.xml,0.9610265,1366,757,1524,920
echinus,000752.xml,0.9843098,2111,1881,2288,2067
echinus,000752.xml,0.988982,2291,90,2475,277
echinus,000752.xml,0.94293183,3434,1301,3571,1428
echinus,000752.xml,0.92892325,2666,1752,2840,1915
echinus,000752.xml,0.8099042,195,471,357,600
echinus,000752.xml,0.50015783,2534,810,2661,915
echinus,000752.xml,0.39211878,1305,2056,1500,2156
echinus,000752.xml,0.39175558,2388,1100,2524,1227
echinus,000752.xml,0.60896605,1876,2049,2042,2158
scallop,000752.xml,0.08121799,1478,1872,1603,1958
scallop,000752.xml,0.06806424,1002,1297,1135,1399
starfish,000752.xml,0.9757539,416,1883,571,2039
starfish,000752.xml,0.96213424,471,1608,653,1745
starfish,000752.xml,0.8809286,1084,1055,1201,1176
starfish,000752.xml,0.13418889,2740,4,2853,85
starfish,000752.xml,0.9935017,1710,1254,1924,1458
starfish,000752.xml,0.2626031,2359,1234,2510,1369
starfish,000752.xml,0.08489332,1417,306,1561,462
holothurian,000220.xml,0.93126017,0,878,460,1231
holothurian,000220.xml,0.18076353,637,1017,1428,1319
scallop,000220.xml,0.41129684,718,1807,1088,1972
scallop,000262.xml,0.9975369,2544,1427,2865,1681
scallop,000262.xml,0.9959013,2233,1182,2399,1341
scallop,000262.xml,0.98879075,2173,424,2329,549
scallop,000262.xml,0.9282928,165,975,327,1148
scallop,000262.xml,0.99379456,1981,426,2156,524
scallop,000262.xml,0.99141425,1029,1326,1322,1529
scallop,000262.xml,0.9977463,2745,1038,2997,1206
scallop,000262.xml,0.5228136,4,963,144,1095
scallop,000262.xml,0.9913919,3692,488,3838,680
scallop,000262.xml,0.18094675,221,1111,447,1265
scallop,000262.xml,0.12024949,2626,395,2728,472
scallop,000262.xml,0.052195743,40,841,199,1004
scallop,000262.xml,0.08709064,666,1250,862,1433
scallop,000262.xml,0.06965671,8,881,186,1105
scallop,000262.xml,0.49771887,1835,203,1959,285
scallop,000262.xml,0.1045261,3523,207,3635,285
scallop,000262.xml,0.25717705,1828,833,1956,954
scallop,000262.xml,0.18415897,2119,1180,2241,1262
scallop,000262.xml,0.35512957,2303,1622,2537,1825
scallop,000262.xml,0.056022283,1526,1025,1729,1218
scallop,000262.xml,0.1930065,3240,1225,3430,1400
scallop,000262.xml,0.056729607,30,940,174,1062
scallop,000262.xml,0.0663938,56,943,185,1016
scallop,000262.xml,0.17768717,219,267,399,361
starfish,000262.xml,0.99593544,1290,824,1660,1075
starfish,000262.xml,0.98365515,1612,621,1985,817
starfish,000262.xml,0.1238227,3548,1235,3829,1438
holothurian,000258.xml,0.15937296,1649,1620,1937,1724
holothurian,000258.xml,0.11485731,74,1129,575,1287
echinus,000258.xml,0.9958994,2233,997,2429,1157
echinus,000258.xml,0.9866186,633,1424,844,1617
echinus,000258.xml,0.7629145,1826,1371,1972,1498
echinus,000258.xml,0.90814626,472,1404,658,1593
scallop,000258.xml,0.37703854,180,1663,384,1865
holothurian,000161.xml,0.9401334,172,1319,805,1536
holothurian,000161.xml,0.96751547,1534,795,1905,1544
holothurian,000161.xml,0.12548587,3038,468,3366,646
holothurian,000161.xml,0.40138456,2509,1281,2906,1556
holothurian,000161.xml,0.27479398,2536,1085,2947,1586
echinus,000161.xml,0.12884754,3113,467,3352,642
scallop,000161.xml,0.15212451,2318,280,2511,427
holothurian,000212.xml,0.8182945,765,813,1073,1118
holothurian,000212.xml,0.105841085,0,966,773,1350
holothurian,000212.xml,0.15211019,3086,1523,3428,1740
holothurian,000212.xml,0.9498238,589,1173,1150,1682
echinus,000212.xml,0.9836426,1243,409,1480,600
echinus,000212.xml,0.8908542,841,437,1062,612
echinus,000212.xml,0.12626462,3661,1796,3838,2145
echinus,000212.xml,0.13053873,978,353,1190,532
scallop,000212.xml,0.35035056,2662,1107,2789,1187
echinus,000595.xml,0.97723436,264,327,321,391
echinus,000595.xml,0.71888626,569,113,706,218
echinus,000595.xml,0.7825778,239,245,325,337
echinus,000595.xml,0.18089996,19,27,45,55
echinus,000595.xml,0.3156975,56,0,106,42
echinus,000595.xml,0.97160316,309,20,352,66
echinus,000595.xml,0.22067621,3,64,50,111
scallop,000595.xml,0.15713912,232,41,291,91
scallop,000595.xml,0.07143391,56,0,105,42
starfish,000595.xml,0.066809244,4,64,51,111
starfish,000595.xml,0.13020723,0,1,24,39
holothurian,000164.xml,0.98613167,552,600,1143,1096
holothurian,000164.xml,0.9756128,301,1140,896,1366
holothurian,000164.xml,0.41879848,851,1129,1426,1857
holothurian,000164.xml,0.22325602,987,1149,1417,1607
holothurian,000164.xml,0.66523534,1,237,324,373
echinus,000164.xml,0.9789656,1828,839,2335,1543
echinus,000164.xml,0.9721657,2300,527,2819,1051
echinus,000669.xml,0.9521057,1591,1608,1845,1881
echinus,000669.xml,0.9202874,1760,1751,2021,1989
echinus,000669.xml,0.088995,1569,1594,2005,1961
scallop,000669.xml,0.22870204,2263,334,2408,434
starfish,000669.xml,0.6540951,3240,1133,3445,1324
scallop,000416.xml,0.9952958,3301,566,3741,838
scallop,000416.xml,0.991918,1745,667,1954,832
scallop,000416.xml,0.9906662,2174,404,2416,537
scallop,000416.xml,0.9913811,1116,890,1396,1093
scallop,000416.xml,0.9673364,1693,558,1902,714
scallop,000416.xml,0.9826099,0,1456,222,1636
scallop,000416.xml,0.43719214,2972,673,3159,815
scallop,000416.xml,0.99074113,2874,1199,3343,1580
scallop,000416.xml,0.053594228,1,1383,164,1477
scallop,000416.xml,0.055925477,970,523,1046,602
scallop,000416.xml,0.23007925,2,1085,123,1204
scallop,000416.xml,0.28966329,78,1238,329,1427
